number	aSeq	aType	ai	aj	bSeq	bType	bi	bj	aPeak	bPeak
368	SC35M_NA	H2	50	100	SC35M_M	H2	825	875	96	845
369	SC35M_NA	8xmut	475	510	SC35M_M	8xmut	450	500	509	478
370	SC35M_NA	8xmut	560	575	SC35M_M	8xmut	450	500	560	469
371	SC35M_NA	wt	50	100	SC35M_NS	wt	450	475	77	464
372	SC35M_NA	wt	25	100	SC35M_NS	wt	700	775	72	750
373	SC35M_NA	wt	150	200	SC35M_NS	wt	300	375	185	334
374	SC35M_NA	wt	225	275	SC35M_NS	wt	275	325	252	294
375	SC35M_NA	wt	300	350	SC35M_NS	wt	275	325	319	294
376	SC35M_NA	wt	325	375	SC35M_NS	wt	425	525	349	479
377	SC35M_NA	wt	300	400	SC35M_NS	wt	775	837	370	815
378	SC35M_NA	wt	525	600	SC35M_NS	wt	150	225	562	201
379	SC35M_NA	4xmut	450	550	SC35M_NS	4xmut	575	625	496	585
380	SC35M_NA	wt	725	800	SC35M_NS	wt	250	325	780	291
381	SC35M_NA	8xmut	825	850	SC35M_NS	8xmut	250	325	842	281
382	SC35M_NA	wt	800	825	SC35M_NS	wt	350	375	820	368
383	SC35M_NA	wt	725	800	SC35M_NS	wt	775	850	764	815
384	SC35M_NA	wt	850	900	SC35M_NS	wt	725	775	865	755
385	SC35M_NA	wt	950	1025	SC35M_NS	wt	150	225	989	196
386	SC35M_NA	4xmut	950	1000	SC35M_NS	4xmut	500	550	972	525
387	SC35M_NA	wt	950	1000	SC35M_NS	wt	725	775	972	753
388	SC35M_NA	wt	1150	1225	SC35M_NS	wt	25	100	1192	71
389	SC35M_NA	wt	1075	1125	SC35M_NS	wt	250	325	1104	289
390	SC35M_NA	wt	1050	1125	SC35M_NS	wt	500	550	1080	525
391	SC35M_NA	wt	1075	1125	SC35M_NS	wt	775	825	1108	798
392	SC35M_NA	wt	1285	1350	SC35M_NS	wt	325	400	1320	369
393	SC35M_NA	wt	1200	1275	SC35M_NS	wt	575	650	1246	613
394	SC35M_NA	wt	225	275	SC35M_NS	wt	325	350	250	337
395	SC35M_NA	wt	350	425	SC35M_NS	wt	550	650	383	594
396	SC35M_NA	4xmut	550	600	SC35M_NS	4xmut	250	300	552	270
397	SC35M_NA	4xmut	475	525	SC35M_NS	4xmut	250	300	510	286
398	SC35M_NA	wt	600	675	SC35M_NS	wt	400	475	640	431
399	SC35M_NA	wt	1075	1150	SC35M_NS	wt	675	750	1111	748
400	SC35M_NA	wt	1225	1275	SC35M_NS	wt	500	550	1261	523
401	SC35M_NA	wt	1325	1425	SC35M_NS	wt	500	600	1375	545
402	SC35M_NA	wt	300	400	SC35M_NS	wt	850	890	370	868
403	SC35M_NA	4xmut	50	100	SC35M_NS	4xmut	500	525	76	523
404	SC35M_NA	wt	900	975	SC35M_NS	wt	425	475	956	440
405	SC35M_NA	wt	1200	1275	SC35M_NS	wt	325	400	1244	370
406	SC35M_NA	wt	63	87	SC35M_NS	wt	150	225	81	188
407	SC35M_NA	wt	112	137	SC35M_NS	wt	150	225	114	188
408	SC35M_NA	wt	350	400	SC35M_NS	wt	275	325	350	294
409	SC35M_NA	wt	325	425	SC35M_NS	wt	350	387	371	370
410	SC35M_NA	wt	325	425	SC35M_NS	wt	387	425	361	424
411	SC35M_NA	4xmut	475	550	SC35M_NS	4xmut	450	485	512	476
412	SC35M_NA	8xmut	475	550	SC35M_NS	8xmut	500	550	519	523
413	SC35M_NA	4xmut	950	1000	SC35M_NS	4xmut	325	375	982	345
414	SC35M_NA	4xmut	50	100	SC35M_NS	4xmut	250	350	78	285
415	SC35M_NA	4xmut	450	525	SC35M_NS	4xmut	50	125	495	88
416	SC35M_NA	4xmut	1325	1400	SC35M_NS	4xmut	50	125	1362	111
417	SC35M_NA	NAterm	875	937	SC35M_NS	NAterm	487	550	905	516
418	SC35M_NA	NAterm	1350	1400	SC35M_NS	NAterm	150	225	1383	183
419	SC35M_NA	H1	800	825	SC35M_NS	H1	250	325	820	287
420	SC35M_NA	wt	225	275	SC35M_NS	wt	362	400	250	368
421	SC35M_NA	H2	875	900	SC35M_NS	H2	275	300	886	284
422	SC35M_NA	HA5_1	325	375	SC35M_NS	HA5_1	510	525	349	511
423	SC35M_NP	wt	175	250	SC35M_M	wt	25	125	238	69
424	SC35M_NP	wt	25	100	SC35M_M	wt	450	500	70	469
425	SC35M_NP	wt	100	150	SC35M_M	wt	500	550	134	520
426	SC35M_NP	wt	200	300	SC35M_M	wt	775	850	262	801
427	SC35M_NP	wt	300	375	SC35M_M	wt	50	100	342	71
428	SC35M_NP	wt	450	575	SC35M_M	wt	100	175	506	142
429	SC35M_NP	wt	425	525	SC35M_M	wt	400	500	506	468
430	SC35M_NP	wt	450	525	SC35M_M	wt	775	850	490	808
431	SC35M_NP	wt	450	525	SC35M_M	wt	900	950	501	916
432	SC35M_NP	wt	625	700	SC35M_M	wt	50	100	666	81
433	SC35M_NP	wt	625	700	SC35M_M	wt	125	175	654	142
434	SC35M_NP	wt	600	650	SC35M_M	wt	775	825	641	794
435	SC35M_NP	wt	600	675	SC35M_M	wt	825	875	639	839
436	SC35M_NP	wt	800	875	SC35M_M	wt	25	125	848	82
437	SC35M_NP	wt	875	925	SC35M_M	wt	50	125	875	82
438	SC35M_NP	wt	825	900	SC35M_M	wt	625	700	874	661
439	SC35M_NP	wt	925	1000	SC35M_M	wt	575	650	964	606
440	SC35M_NP	wt	1050	1100	SC35M_M	wt	150	225	1096	183
441	SC35M_NP	H2	1050	1115	SC35M_M	H2	675	725	1100	699
442	SC35M_NP	wt	1225	1300	SC35M_M	wt	187	235	1243	217
443	SC35M_NP	wt	1225	1300	SC35M_M	wt	240	300	1256	266
444	SC35M_NP	wt	1250	1300	SC35M_M	wt	450	500	1275	470
445	SC35M_NP	wt	1250	1310	SC35M_M	wt	775	850	1286	813
446	SC35M_NP	wt	1315	1375	SC35M_M	wt	775	850	1325	811
447	SC35M_NP	wt	1425	1450	SC35M_M	wt	75	100	1446	82
448	SC35M_NP	wt	1485	1525	SC35M_M	wt	75	100	1498	83
449	SC35M_NP	wt	1500	1550	SC35M_M	wt	475	525	1513	496
450	SC35M_NP	wt	1475	1525	SC35M_M	wt	775	825	1497	794
451	SC35M_NP	wt	1425	1475	SC35M_M	wt	850	900	1460	870
452	SC35M_NP	wt	775	875	SC35M_M	wt	450	500	842	482
453	SC35M_NP	wt	1250	1325	SC35M_M	wt	25	100	1303	78
454	SC35M_NP	wt	700	775	SC35M_M	wt	675	750	749	704
455	SC35M_NP	wt	1025	1075	SC35M_M	wt	775	850	1063	848
456	SC35M_NP	wt	1400	1475	SC35M_M	wt	450	525	1433	494
457	SC35M_NP	wt	450	485	SC35M_M	wt	600	650	473	633
458	SC35M_NP	wt	525	575	SC35M_M	wt	575	675	546	624
459	SC35M_NP	8xmut	25	100	SC35M_M	8xmut	37	150	66	80
460	SC35M_NP	8xmut	675	775	SC35M_M	8xmut	425	525	744	478
461	SC35M_NP	MmtoHA51	250	300	SC35M_M	MmtoHA51	150	200	267	184
462	SC35M_NP	MmtoHA51	1150	1225	SC35M_M	MmtoHA51	150	212	1203	185
463	SC35M_NP	H2	825	900	SC35M_M	H2	575	625	875	624
464	SC35M_NP	H2	925	1000	SC35M_M	H2	650	700	963	652
465	SC35M_NP	H2	1035	1075	SC35M_M	H2	575	650	1035	613
466	SC35M_NP	H2	1125	1175	SC35M_M	H2	50	100	1174	71
467	SC35M_NP	H2	1175	1250	SC35M_M	H2	50	100	1226	71
468	SC35M_NP	H2	1275	1325	SC35M_M	H2	325	375	1287	357
469	SC35M_NP	H2	725	775	SC35M_M	H2	775	825	746	787
470	SC35M_NP	wt	25	100	SC35M_NA	wt	450	525	62	486
471	SC35M_NP	wt	275	375	SC35M_NA	wt	475	575	339	519
472	SC35M_NP	wt	250	325	SC35M_NA	wt	950	1025	285	983
473	SC35M_NP	wt	275	350	SC35M_NA	wt	1250	1325	323	1290
474	SC35M_NP	wt	525	625	SC35M_NA	wt	450	550	563	493
475	SC35M_NP	wt	450	550	SC35M_NA	wt	825	900	472	851
476	SC35M_NP	wt	475	550	SC35M_NA	wt	1025	1100	526	1065
477	SC35M_NP	wt	500	525	SC35M_NA	wt	1120	1125	507	1120
478	SC35M_NP	wt	825	925	SC35M_NA	wt	150	225	882	183
479	SC35M_NP	wt	825	900	SC35M_NA	wt	450	525	880	484
480	SC35M_NP	wt	900	975	SC35M_NA	wt	450	525	949	490
481	SC35M_NP	wt	875	925	SC35M_NA	wt	975	1025	884	997
482	SC35M_NP	wt	650	700	SC35M_NA	wt	1100	1150	671	1121
483	SC35M_NP	wt	800	850	SC35M_NA	wt	1300	1350	836	1317
484	SC35M_NP	wt	1250	1325	SC35M_NA	wt	50	125	1281	87
485	SC35M_NP	wt	1300	1375	SC35M_NA	wt	450	550	1349	485
486	SC35M_NP	wt	1300	1375	SC35M_NA	wt	1050	1125	1337	1083
487	SC35M_NP	wt	1400	1475	SC35M_NA	wt	1025	1100	1445	1049
488	SC35M_NP	wt	1175	1250	SC35M_NA	wt	1075	1150	1205	1110
489	SC35M_NP	wt	1475	1550	SC35M_NA	wt	400	500	1511	433
490	SC35M_NP	wt	1175	1225	SC35M_NA	wt	475	550	1201	504
491	SC35M_NP	wt	1225	1300	SC35M_NA	wt	450	550	1286	500
492	SC35M_NP	wt	25	100	SC35M_NA	wt	1300	1375	66	1341
493	SC35M_NP	wt	150	225	SC35M_NA	wt	675	750	185	703
494	SC35M_NP	wt	150	225	SC35M_NA	wt	825	900	216	851
495	SC35M_NP	wt	250	325	SC35M_NA	wt	800	875	295	854
496	SC35M_NP	wt	425	525	SC35M_NA	wt	450	525	510	494
497	SC35M_NP	8xmut	425	525	SC35M_NA	8xmut	525	600	482	565
498	SC35M_NP	wt	475	550	SC35M_NA	wt	950	1025	526	1024
499	SC35M_NP	wt	620	675	SC35M_NA	wt	975	1050	623	1012
500	SC35M_NP	wt	1025	1125	SC35M_NA	wt	450	525	1051	480
501	SC35M_NP	wt	425	475	SC35M_NA	wt	1300	1400	468	1323
502	SC35M_NP	wt	485	575	SC35M_NA	wt	1300	1400	506	1359
503	SC35M_NP	wt	150	250	SC35M_NS	wt	325	425	212	370
504	SC35M_NP	wt	25	100	SC35M_NS	wt	500	575	70	526
505	SC35M_NP	wt	150	225	SC35M_NS	wt	700	775	185	738
506	SC35M_NP	wt	450	525	SC35M_NS	wt	50	125	477	92
507	SC35M_NP	H1	525	600	SC35M_NS	H1	100	200	575	139
508	SC35M_NP	wt	275	375	SC35M_NS	wt	325	425	338	376
509	SC35M_NP	wt	250	325	SC35M_NS	wt	500	575	287	523
510	SC35M_NP	4xmut	425	525	SC35M_NS	4xmut	350	425	501	394
511	SC35M_NP	wt	450	550	SC35M_NS	wt	500	575	506	533
512	SC35M_NP	wt	650	750	SC35M_NS	wt	500	575	696	525
513	SC35M_NP	wt	800	900	SC35M_NS	wt	325	425	866	372
514	SC35M_NP	wt	775	850	SC35M_NS	wt	800	875	819	834
515	SC35M_NP	wt	900	975	SC35M_NS	wt	650	700	936	672
516	SC35M_NP	wt	950	1000	SC35M_NS	wt	725	775	983	753
517	SC35M_NP	wt	1375	1450	SC35M_NS	wt	150	225	1404	182
518	SC35M_NP	wt	1300	1400	SC35M_NS	wt	250	310	1344	291
519	SC35M_NP	wt	1300	1400	SC35M_NS	wt	325	350	1344	337
520	SC35M_NP	wt	1300	1400	SC35M_NS	wt	475	575	1351	524
521	SC35M_NP	wt	1475	1525	SC35M_NS	wt	700	750	1509	728
522	SC35M_NP	8xmut	450	525	SC35M_NS	8xmut	137	212	508	137
523	SC35M_NP	wt	450	525	SC35M_NS	wt	575	650	501	590
524	SC35M_NP	wt	450	550	SC35M_NS	wt	775	850	506	812
525	SC35M_NP	wt	850	925	SC35M_NS	wt	25	100	880	57
526	SC35M_NP	wt	950	1025	SC35M_NS	wt	175	250	967	220
527	SC35M_NP	wt	450	525	SC35M_NS	wt	850	890	500	870
528	SC35M_NP	H1	900	937	SC35M_NS	H1	325	425	910	381
529	SC35M_NP	HAmtoNAterm	937	1000	SC35M_NS	HAmtoNAterm	325	450	966	392
530	SC35M_NP	wt	1150	1200	SC35M_NS	wt	300	375	1187	337
531	SC35M_NP	wt	1200	1250	SC35M_NS	wt	300	350	1222	337
532	SC35M_NP	wt	1200	1250	SC35M_NS	wt	350	400	1226	364
533	SC35M_NP	8xmut	25	100	SC35M_NS	8xmut	250	325	75	299
534	SC35M_NP	8xmut	325	375	SC35M_NS	8xmut	500	550	339	526
535	SC35M_NP	8xmut	587	637	SC35M_NS	8xmut	487	550	617	516
536	SC35M_NP	8xmut	800	875	SC35M_NS	8xmut	487	550	842	508
537	SC35M_NP	8xmut	700	775	SC35M_NS	8xmut	675	750	743	712
538	SC35M_NP	MmtoHA51	567	600	SC35M_NS	MmtoHA51	775	850	583	810
539	SC35M_NP	H1	587	588	SC35M_NS	H1	327	328	587	327
540	SC35M_NP	H1	775	850	SC35M_NS	H1	750	788	809	772
541	SC35M_NP	8xmut	450	475	SC35M_NS	8xmut	375	400	460	397
542	SC35M_PA	wt	350	450	SC35M_HA	wt	225	300	405	263
543	SC35M_PA	wt	275	375	SC35M_HA	wt	375	450	332	418
544	SC35M_PA	wt	225	300	SC35M_HA	wt	875	950	267	918
545	SC35M_PA	wt	250	300	SC35M_HA	wt	1025	1075	279	1058
546	SC35M_PA	wt	300	350	SC35M_HA	wt	1075	1125	332	1097
547	SC35M_PA	wt	150	250	SC35M_HA	wt	1275	1325	218	1304
548	SC35M_PA	wt	25	100	SC35M_HA	wt	1450	1525	65	1486
549	SC35M_PA	wt	800	875	SC35M_HA	wt	100	175	849	136
550	SC35M_PA	8xmut	800	875	SC35M_HA	8xmut	325	425	844	368
551	SC35M_PA	wt	550	625	SC35M_HA	wt	525	600	591	561
552	SC35M_PA	wt	550	625	SC35M_HA	wt	975	1050	587	1022
553	SC35M_PA	wt	650	700	SC35M_HA	wt	1050	1125	681	1077
554	SC35M_PA	wt	475	525	SC35M_HA	wt	1300	1375	495	1347
555	SC35M_PA	wt	425	500	SC35M_HA	wt	1400	1475	463	1449
556	SC35M_PA	wt	425	500	SC35M_HA	wt	1550	1675	474	1587
557	SC35M_PA	H3	525	600	SC35M_HA	H3	1600	1650	564	1643
558	SC35M_PA	8xmut	650	725	SC35M_HA	8xmut	1400	1475	686	1446
559	SC35M_PA	H3	900	950	SC35M_HA	H3	500	550	933	532
560	SC35M_PA	wt	800	850	SC35M_HA	wt	1075	1150	832	1108
561	SC35M_PA	wt	850	950	SC35M_HA	wt	1275	1375	901	1314
562	SC35M_PA	wt	800	875	SC35M_HA	wt	1400	1475	850	1435
563	SC35M_PA	wt	850	925	SC35M_HA	wt	1575	1675	890	1624
564	SC35M_PA	H3	1500	1575	SC35M_HA	H3	225	300	1548	263
565	SC35M_PA	wt	1350	1400	SC35M_HA	wt	425	500	1383	460
566	SC35M_PA	wt	1525	1600	SC35M_HA	wt	500	575	1560	533
567	SC35M_PA	wt	1575	1675	SC35M_HA	wt	725	825	1662	794
568	SC35M_PA	8xmut	1500	1575	SC35M_HA	8xmut	950	1025	1540	982
569	SC35M_PA	wt	1350	1425	SC35M_HA	wt	1125	1175	1379	1155
570	SC35M_PA	wt	1325	1400	SC35M_HA	wt	1600	1675	1353	1641
571	SC35M_PA	wt	1750	1825	SC35M_HA	wt	100	175	1788	142
572	SC35M_PA	wt	1975	2075	SC35M_HA	wt	425	500	2028	462
573	SC35M_PA	wt	2125	2175	SC35M_HA	wt	350	425	2150	396
574	SC35M_PA	wt	1950	2025	SC35M_HA	wt	850	900	1988	880
575	SC35M_PA	wt	1850	1900	SC35M_HA	wt	950	1025	1881	990
576	SC35M_PA	wt	1975	2050	SC35M_HA	wt	950	1025	2018	993
577	SC35M_PA	wt	1650	1725	SC35M_HA	wt	1075	1175	1689	1143
578	SC35M_PA	wt	1575	1650	SC35M_HA	wt	1325	1400	1608	1370
579	SC35M_PA	wt	2000	2100	SC35M_HA	wt	1100	1175	2028	1142
580	SC35M_PA	wt	2125	2175	SC35M_HA	wt	1100	1175	2150	1139
581	SC35M_PA	wt	1750	1825	SC35M_HA	wt	1400	1475	1789	1446
582	SC35M_PA	wt	1925	2000	SC35M_HA	wt	1475	1600	1981	1495
583	SC35M_PA	wt	1825	1925	SC35M_HA	wt	1600	1675	1872	1636
584	SC35M_PA	wt	1475	1550	SC35M_HA	wt	1600	1700	1497	1650
585	SC35M_PA	8xmut	1575	1625	SC35M_HA	8xmut	75	150	1624	106
586	SC35M_PA	wt	1700	1775	SC35M_HA	wt	325	400	1734	350
587	SC35M_PA	8xmut	2100	2200	SC35M_HA	8xmut	100	175	2151	137
588	SC35M_PA	wt	2050	2150	SC35M_HA	wt	225	300	2105	252
589	SC35M_PA	wt	2050	2125	SC35M_HA	wt	500	575	2095	534
590	SC35M_PA	wt	350	425	SC35M_HA	wt	650	725	350	698
591	SC35M_PA	wt	850	925	SC35M_HA	wt	950	1025	893	989
592	SC35M_PA	wt	1350	1425	SC35M_HA	wt	50	100	1386	91
593	SC35M_PA	wt	1925	2000	SC35M_HA	wt	1475	1525	1981	1495
594	SC35M_PA	wt	175	250	SC35M_HA	wt	575	662	219	630
595	SC35M_PA	wt	175	250	SC35M_HA	wt	662	725	212	682
596	SC35M_PA	4xmut	275	350	SC35M_HA	4xmut	250	350	316	291
597	SC35M_PA	4xmut	800	875	SC35M_HA	4xmut	475	550	840	509
598	SC35M_PA	4xmut	800	875	SC35M_HA	4xmut	850	950	850	888
599	SC35M_PA	4xmut	1000	1075	SC35M_HA	4xmut	1000	1075	1026	1038
600	SC35M_PA	4xmut	1325	1400	SC35M_HA	4xmut	475	575	1353	523
601	SC35M_PA	4xmut	1425	1500	SC35M_HA	4xmut	425	500	1469	459
602	SC35M_PA	4xmut	1925	2025	SC35M_HA	4xmut	475	550	1968	508
603	SC35M_PA	4xmut	2075	2125	SC35M_HA	4xmut	825	925	2093	877
604	SC35M_PA	4xmut	1975	2075	SC35M_HA	4xmut	1225	1300	2031	1257
605	SC35M_PA	4xmut	1925	2025	SC35M_HA	4xmut	1325	1400	1968	1365
606	SC35M_PA	4xmut	2125	2200	SC35M_HA	4xmut	1400	1475	2141	1437
607	SC35M_PA	8xmut	1575	1650	SC35M_HA	8xmut	850	950	1619	888
608	SC35M_PA	HAmtoNAterm	1500	1575	SC35M_HA	HAmtoNAterm	800	875	1551	842
609	SC35M_PA	H2	650	725	SC35M_HA	H2	350	425	692	392
610	SC35M_PA	H2	2175	2225	SC35M_HA	H2	625	675	2197	654
611	SC35M_PA	H2	950	1000	SC35M_HA	H2	1625	1675	980	1644
612	SC35M_PA	8xmut	1575	1625	SC35M_HA	8xmut	225	300	1583	269
613	SC35M_PA	8xmut	1600	1625	SC35M_HA	8xmut	325	350	1611	342
614	SC35M_PA	H1	225	300	SC35M_M	H1	25	75	276	66
615	SC35M_PA	wt	325	400	SC35M_M	wt	25	100	360	62
616	SC35M_PA	wt	375	425	SC35M_M	wt	150	200	399	173
617	SC35M_PA	wt	125	200	SC35M_M	wt	250	325	176	296
618	SC35M_PA	wt	125	225	SC35M_M	wt	425	500	149	464
619	SC35M_PA	wt	250	300	SC35M_M	wt	550	625	283	580
620	SC35M_PA	wt	200	275	SC35M_M	wt	825	900	234	863
621	SC35M_PA	wt	525	600	SC35M_M	wt	125	225	563	179
622	SC35M_PA	wt	610	700	SC35M_M	wt	375	450	663	411
623	SC35M_PA	wt	650	725	SC35M_M	wt	550	625	682	602
624	SC35M_PA	wt	575	650	SC35M_M	wt	825	900	627	861
625	SC35M_PA	wt	900	925	SC35M_M	wt	125	150	924	139
626	SC35M_PA	wt	875	950	SC35M_M	wt	400	430	899	429
627	SC35M_PA	H2	825	875	SC35M_M	H2	525	575	852	557
628	SC35M_PA	wt	1100	1175	SC35M_M	wt	175	250	1140	226
629	SC35M_PA	wt	1150	1225	SC35M_M	wt	450	525	1185	494
630	SC35M_PA	wt	1050	1125	SC35M_M	wt	825	875	1082	845
631	SC35M_PA	wt	1450	1550	SC35M_M	wt	25	125	1508	71
632	SC35M_PA	wt	1325	1425	SC35M_M	wt	200	300	1383	251
633	SC35M_PA	wt	1550	1650	SC35M_M	wt	175	250	1602	202
634	SC35M_PA	wt	1550	1650	SC35M_M	wt	300	375	1605	340
635	SC35M_PA	wt	1450	1525	SC35M_M	wt	350	425	1489	399
636	SC35M_PA	wt	1675	1750	SC35M_M	wt	375	450	1711	413
637	SC35M_PA	wt	1400	1475	SC35M_M	wt	575	650	1449	613
638	SC35M_PA	wt	1450	1525	SC35M_M	wt	775	850	1489	817
639	SC35M_PA	wt	1650	1725	SC35M_M	wt	775	850	1694	814
640	SC35M_PA	wt	2100	2175	SC35M_M	wt	450	500	2157	481
641	SC35M_PA	wt	2000	2075	SC35M_M	wt	575	650	2024	619
642	SC35M_PA	wt	2125	2175	SC35M_M	wt	600	700	2150	629
643	SC35M_PA	wt	2000	2050	SC35M_M	wt	900	950	2032	920
644	SC35M_PA	H1	2125	2175	SC35M_M	H1	900	950	2142	906
645	SC35M_PA	wt	75	150	SC35M_M	wt	200	275	133	252
646	SC35M_PA	wt	200	250	SC35M_M	wt	600	675	236	641
647	SC35M_PA	wt	450	525	SC35M_M	wt	650	725	495	699
648	SC35M_PA	wt	525	600	SC35M_M	wt	425	525	552	462
649	SC35M_PA	wt	1850	1925	SC35M_M	wt	373	450	1887	413
650	SC35M_PA	wt	1975	2050	SC35M_M	wt	525	575	2021	553
651	SC35M_PA	wt	1350	1425	SC35M_M	wt	775	850	1424	815
652	SC35M_PA	wt	2050	2125	SC35M_M	wt	50	112	2098	86
653	SC35M_PA	wt	2050	2125	SC35M_M	wt	112	175	2101	121
654	SC35M_PA	H2	121	150	SC35M_M	H2	725	825	129	774
655	SC35M_PA	H2	50	100	SC35M_M	H2	850	875	62	850
656	SC35M_PA	H1	175	225	SC35M_M	H1	25	100	221	68
657	SC35M_PA	H1	300	325	SC35M_M	H1	25	100	305	66
658	SC35M_PA	H2	575	650	SC35M_M	H2	50	100	624	71
659	SC35M_PA	H1	937	1000	SC35M_M	H1	50	100	937	66
660	SC35M_PA	H1	950	1000	SC35M_M	H1	200	250	988	213
661	SC35M_PA	H1	1025	1075	SC35M_M	H1	200	250	1056	220
662	SC35M_PA	H2	650	725	SC35M_M	H2	725	775	697	753
663	SC35M_PA	H2	675	725	SC35M_M	H2	925	975	681	932
664	SC35M_PA	H1	1225	1275	SC35M_M	H1	450	525	1225	484
665	SC35M_PA	H2	2000	2035	SC35M_M	H2	50	100	2032	71
666	SC35M_PA	H2	1850	1925	SC35M_M	H2	300	375	1889	328
667	SC35M_PA	H1	1650	1700	SC35M_M	H1	725	775	1671	735
668	SC35M_PA	H1	1700	1750	SC35M_M	H1	700	775	1702	743
669	SC35M_PA	H1	1700	1725	SC35M_M	H1	325	400	1714	340
670	SC35M_PA	wt	225	300	SC35M_NA	wt	25	125	284	72
671	SC35M_PA	wt	175	250	SC35M_NA	wt	150	250	219	193
672	SC35M_PA	wt	25	100	SC35M_NA	wt	400	500	59	439
673	SC35M_PA	wt	125	200	SC35M_NA	wt	425	500	180	470
674	SC35M_PA	wt	250	350	SC35M_NA	wt	450	550	266	494
675	SC35M_PA	wt	350	425	SC35M_NA	wt	475	550	396	511
676	SC35M_PA	wt	450	525	SC35M_NA	wt	475	550	503	532
677	SC35M_PA	wt	225	325	SC35M_NA	wt	800	875	286	843
678	SC35M_PA	wt	125	200	SC35M_NA	wt	900	975	183	943
679	SC35M_PA	wt	5	75	SC35M_NA	wt	1075	1150	42	1116
680	SC35M_PA	wt	250	300	SC35M_NA	wt	975	1025	284	997
681	SC35M_PA	wt	300	375	SC35M_NA	wt	1025	1100	343	1062
682	SC35M_PA	wt	425	525	SC35M_NA	wt	875	975	477	924
683	SC35M_PA	wt	550	625	SC35M_NA	wt	25	100	607	55
684	SC35M_PA	wt	775	875	SC35M_NA	wt	50	150	828	113
685	SC35M_PA	wt	950	1025	SC35M_NA	wt	275	375	989	329
686	SC35M_PA	wt	800	875	SC35M_NA	wt	500	550	847	515
687	SC35M_PA	wt	650	725	SC35M_NA	wt	950	1025	680	1014
688	SC35M_PA	wt	850	950	SC35M_NA	wt	950	1025	901	985
689	SC35M_PA	wt	800	900	SC35M_NA	wt	1150	1250	855	1198
690	SC35M_PA	wt	525	625	SC35M_NA	wt	1300	1375	586	1341
691	SC35M_PA	wt	625	700	SC35M_NA	wt	1300	1375	674	1345
692	SC35M_PA	wt	1100	1200	SC35M_NA	wt	50	150	1152	109
693	SC35M_PA	wt	1450	1525	SC35M_NA	wt	50	125	1489	84
694	SC35M_PA	wt	1450	1525	SC35M_NA	wt	150	225	1485	177
695	SC35M_PA	wt	1125	1225	SC35M_NA	wt	500	575	1179	542
696	SC35M_PA	wt	1325	1400	SC35M_NA	wt	450	550	1399	549
697	SC35M_PA	wt	1450	1525	SC35M_NA	wt	525	575	1496	560
698	SC35M_PA	wt	1575	1650	SC35M_NA	wt	725	800	1613	758
699	SC35M_PA	wt	1425	1525	SC35M_NA	wt	950	1050	1490	997
700	SC35M_PA	wt	1425	1500	SC35M_NA	wt	1150	1250	1468	1196
701	SC35M_PA	wt	1400	1475	SC35M_NA	wt	1275	1375	1446	1326
702	SC35M_PA	wt	1650	1725	SC35M_NA	wt	950	1025	1671	997
703	SC35M_PA	wt	1750	1825	SC35M_NA	wt	950	1025	1789	983
704	SC35M_PA	wt	2100	2150	SC35M_NA	wt	150	200	2130	177
705	SC35M_PA	wt	1850	1950	SC35M_NA	wt	450	550	1907	503
706	SC35M_PA	wt	1900	1950	SC35M_NA	wt	700	750	1920	727
707	SC35M_PA	wt	2050	2150	SC35M_NA	wt	725	800	2117	764
708	SC35M_PA	wt	2150	2225	SC35M_NA	wt	725	800	2186	755
709	SC35M_PA	wt	2075	2175	SC35M_NA	wt	800	875	2109	843
710	SC35M_PA	wt	2075	2175	SC35M_NA	wt	950	1025	2119	976
711	SC35M_PA	wt	2100	2175	SC35M_NA	wt	1275	1375	2152	1324
712	SC35M_PA	wt	2025	2100	SC35M_NA	wt	1350	1425	2058	1376
713	SC35M_PA	wt	450	525	SC35M_NA	wt	25	100	490	72
714	SC35M_PA	wt	250	325	SC35M_NA	wt	175	250	291	224
715	SC35M_PA	wt	875	975	SC35M_NA	wt	1075	1150	908	1075
716	SC35M_PA	wt	1600	1675	SC35M_NA	wt	450	525	1633	499
717	SC35M_PA	wt	1575	1650	SC35M_NA	wt	575	675	1608	600
718	SC35M_PA	wt	1575	1650	SC35M_NA	wt	825	925	1625	884
719	SC35M_PA	wt	1325	1400	SC35M_NA	wt	1075	1150	1366	1110
720	SC35M_PA	wt	1475	1575	SC35M_NA	wt	1350	1425	1538	1397
721	SC35M_PA	wt	1650	1725	SC35M_NA	wt	1225	1300	1670	1279
722	SC35M_PA	wt	2050	2150	SC35M_NA	wt	400	462	2112	450
723	SC35M_PA	8xmut	2050	2100	SC35M_NA	8xmut	475	525	2073	515
724	SC35M_PA	4xmut	625	700	SC35M_NA	4xmut	475	575	678	515
725	SC35M_PA	HA5_1	1575	1650	SC35M_NA	HA5_1	1150	1225	1619	1171
726	SC35M_PA	H1	310	350	SC35M_NA	H1	50	100	311	66
727	SC35M_PA	H1	800	875	SC35M_NA	H1	425	450	836	449
728	SC35M_PA	H1	1450	1525	SC35M_NA	H1	475	510	1484	483
729	SC35M_PA	H1	1400	1450	SC35M_NA	H1	1100	1150	1408	1125
730	SC35M_PA	H2	1575	1650	SC35M_NA	H2	1150	1200	1619	1174
731	SC35M_PA	H2	2175	2225	SC35M_NA	H2	400	475	2195	442
